timestamp,direction,price,fastEma,slowEma,atr,rsi,gapAbs,gapNorm,tradeOutcome,pnl,exitPrice,holdingPeriod
2024-12-10T05:00:00.000Z,SHORT,24625.65,24638.01,24638.28,30.41,49.93,0.26,0.0087,SMALL_PROFIT,94,24531.65,12
2024-12-10T05:30:00.000Z,LONG,24651.4,24640.9,24639.56,29.14,51.68,1.34,0.046,SMALL_PROFIT,3.25,24654.65,2
2024-12-10T06:30:00.000Z,SHORT,24620.8,24637.25,24638.59,29.07,39.98,1.34,0.046,SMALL_PROFIT,89.15,24531.65,6
2024-12-11T04:00:00.000Z,LONG,24617.55,24593.38,24593.1,35.35,59.53,0.28,0.008,SMALL_PROFIT,64.25,24681.8,8
2024-12-12T04:30:00.000Z,SHORT,24618.85,24638.71,24640.1,30.23,42.8,1.39,0.046,SMALL_PROFIT,77.9,24540.95,19
2024-12-13T07:00:00.000Z,LONG,24528.95,24465.38,24459.96,38.78,63.9,5.42,0.1397,SMALL_PROFIT,252.35,24781.3,11
2024-12-16T06:30:00.000Z,SHORT,24606.45,24648.47,24650.83,65.81,45.79,2.35,0.0358,SMALL_PROFIT,168.75,24437.7,89
2024-12-16T08:15:00.000Z,LONG,24658.5,24650.4,24649.8,58.2,52.84,0.6,0.0103,SMALL_PROFIT,23,24681.5,3
2024-12-17T03:45:00.000Z,SHORT,24591.9,24645.78,24649.81,45.55,36.42,4.03,0.0885,SMALL_PROFIT,274,24317.9,20
2024-12-23T05:45:00.000Z,LONG,23862.75,23787.51,23777.87,54.24,56.54,9.64,0.1778,BREAKEVEN,0,23862.75,0
2024-12-23T07:00:00.000Z,SHORT,23737.7,23775.73,23777.46,78.8,39.18,1.73,0.022,SMALL_PROFIT,70.6,23667.1,3
2024-12-24T04:15:00.000Z,LONG,23797.9,23752.31,23748.04,55.09,57.04,4.27,0.0776,SMALL_PROFIT,54.9,23852.8,2
2024-12-24T08:15:00.000Z,SHORT,23751.7,23779.57,23783.16,45.9,45.87,3.59,0.0782,SMALL_PROFIT,32.75,23718.95,5
2024-12-26T04:15:00.000Z,LONG,23802.2,23776.99,23774.5,33,46.01,2.49,0.0753,BREAKEVEN,0,23802.2,0
2024-12-26T04:30:00.000Z,SHORT,23749.75,23771.54,23772.25,31.51,43.3,0.71,0.0226,SMALL_PROFIT,23.2,23726.55,3
2024-12-27T03:45:00.000Z,LONG,23856.1,23773.06,23762.57,35.09,72.83,10.49,0.2988,SMALL_PROFIT,68.85,23924.95,3
2024-12-27T09:15:00.000Z,SHORT,23807.7,23839.6,23840.85,34.04,41.46,1.25,0.0366,SMALL_PROFIT,114.9,23692.8,283
2024-12-30T06:00:00.000Z,LONG,23873.8,23815.54,23814.48,24.29,63.79,1.05,0.0434,SMALL_PROFIT,22.15,23895.95,1
2024-12-30T07:30:00.000Z,SHORT,23772.2,23810.8,23815.74,41.04,37,4.93,0.1202,SMALL_PROFIT,302.2,23470,84
2024-12-31T08:30:00.000Z,LONG,23680.4,23626.94,23623.27,66.98,50.97,3.67,0.0548,SMALL_PROFIT,79.5,23759.9,90
2025-01-01T04:15:00.000Z,SHORT,23592.05,23629.22,23629.7,45.36,49.33,0.48,0.0106,BREAKEVEN,0,23592.05,0
2025-01-01T04:45:00.000Z,LONG,23653.25,23634.08,23631.83,42.57,53.3,2.25,0.053,SMALL_PROFIT,135.85,23789.1,15
2025-01-03T08:30:00.000Z,SHORT,24031.6,24070.03,24072.4,47.98,46.78,2.37,0.0494,SMALL_PROFIT,423.45,23608.15,279
2025-01-07T06:15:00.000Z,LONG,23738.3,23731.3,23730.75,65.3,47.59,0.55,0.0085,BREAKEVEN,0,23738.3,0
2025-01-07T06:30:00.000Z,SHORT,23720,23729.04,23729.77,66.32,47.63,0.73,0.011,SMALL_PROFIT,166.35,23553.65,90
2025-01-08T08:45:00.000Z,LONG,23660.4,23621.47,23617.45,51.3,59.58,4.02,0.0784,SMALL_PROFIT,44.8,23705.2,3
2025-01-09T05:15:00.000Z,SHORT,23544.15,23616.13,23624.94,46.67,40.8,8.81,0.1888,SMALL_PROFIT,69.05,23475.1,91
2025-01-10T07:00:00.000Z,LONG,23528.75,23512.48,23512.28,36.1,50.16,0.2,0.0055,BREAKEVEN,0,23528.75,0
2025-01-10T07:45:00.000Z,SHORT,23489.7,23509.7,23511.24,53.05,48.07,1.54,0.029,SMALL_PROFIT,274.6,23215.1,283
2025-01-14T05:45:00.000Z,LONG,23229.55,23196.16,23193.08,42.38,48.9,3.08,0.0727,BREAKEVEN,0,23229.55,0
2025-01-14T06:45:00.000Z,SHORT,23172.4,23189.26,23190.82,42.13,46.72,1.56,0.0371,SMALL_PROFIT,14.75,23157.65,6
2025-01-15T03:45:00.000Z,LONG,23206.75,23185.7,23183.23,38.4,53.47,2.47,0.0643,SMALL_PROFIT,71.8,23278.55,6
2025-01-15T08:00:00.000Z,SHORT,23167.7,23210.73,23214.69,37.07,42.59,3.96,0.1069,SMALL_PROFIT,4.6,23163.1,3
2025-01-16T03:45:00.000Z,LONG,23348.3,23235.49,23221.14,33.41,66.62,14.35,0.4297,BREAKEVEN,0,23348.3,0
2025-01-17T04:00:00.000Z,SHORT,23193.8,23278.29,23288.5,24.02,40.53,10.21,0.4251,SMALL_PROFIT,86.15,23107.65,5
2025-01-20T04:30:00.000Z,LONG,23228.05,23215.72,23214.3,46.62,56.94,1.43,0.0306,SMALL_PROFIT,144.05,23372.1,6
2025-01-21T04:45:00.000Z,SHORT,23141.5,23290.8,23307.19,38.58,37.19,16.39,0.4248,SMALL_PROFIT,129.25,23012.25,17
2025-01-22T09:15:00.000Z,LONG,23159.4,23083.42,23078.52,53.65,60.67,4.89,0.0912,SMALL_PROFIT,95,23254.4,87
2025-01-24T04:15:00.000Z,SHORT,23145.85,23210.78,23211.78,31.48,40.13,1.01,0.032,SMALL_PROFIT,67.35,23078.5,20
2025-01-24T05:30:00.000Z,LONG,23279.2,23219.18,23213.42,25.9,62.46,5.76,0.2226,SMALL_PROFIT,44.55,23323.75,3
2025-01-24T08:00:00.000Z,SHORT,23155.9,23220.43,23228.61,56.32,41.88,8.18,0.1453,SMALL_PROFIT,309.35,22846.55,277
2025-01-28T05:30:00.000Z,LONG,22959.6,22896.87,22894.44,48.52,58.6,2.43,0.0501,SMALL_PROFIT,169.75,23129.35,14
2025-01-30T08:45:00.000Z,SHORT,23164.85,23211.09,23216.25,48.22,43.72,5.16,0.1071,BREAKEVEN,0,23164.85,0
2025-01-30T09:45:00.000Z,LONG,23297.95,23228.45,23221.78,44.11,66.82,6.68,0.1514,SMALL_PROFIT,224.55,23522.5,88
2025-02-01T07:00:00.000Z,SHORT,23418.45,23493.65,23499.67,49.9,41.37,6.03,0.1208,SMALL_PROFIT,171.9,23246.55,181
2025-02-01T08:45:00.000Z,LONG,23533.95,23490.44,23489.14,46.53,48.69,1.3,0.0279,BREAKEVEN,0,23533.95,0
2025-02-01T09:00:00.000Z,SHORT,23471.55,23486.66,23487.54,45.2,52.65,0.88,0.0194,SMALL_PROFIT,225,23246.55,173
2025-02-01T09:15:00.000Z,LONG,23506,23490.53,23489.22,48.2,49.68,1.31,0.0272,BREAKEVEN,0,23506,0
2025-02-03T03:45:00.000Z,SHORT,23335.1,23459.01,23475.11,94.86,31.64,16.09,0.1697,SMALL_PROFIT,88.55,23246.55,2
2025-02-03T09:30:00.000Z,LONG,23366.9,23345.73,23344.89,50.48,51.26,0.84,0.0166,SMALL_PROFIT,313.05,23679.95,91
2025-02-05T09:45:00.000Z,SHORT,23686.75,23722.27,23722.89,36.63,46.49,0.62,0.017,SMALL_PROFIT,113.75,23573,91
2025-02-07T05:45:00.000Z,LONG,23681.25,23613.17,23609.44,24.24,62.32,3.73,0.154,SMALL_PROFIT,2.35,23683.6,1
2025-02-07T07:00:00.000Z,SHORT,23583.2,23608.2,23610.22,38.85,41.69,2.01,0.0518,SMALL_PROFIT,210.1,23373.1,278
2025-02-12T07:30:00.000Z,LONG,23103.05,23031.43,23026.57,66.09,59.33,4.85,0.0734,SMALL_PROFIT,119.4,23222.45,90
